Snapshot_Date,Country,City,Address,Postal_Code,Store_ID,Target_Disease,Vaccine_Brand,Manufacturer,Stock_Quantity,Min_Stock_Level,Expiry_Date,Storage_Type
2026-02-21,Germany,Berlin,Alexanderplatz 1 (Galeria),10178,DE-BER-001,Influenza,Vaxigrip Tetra,Sanofi,145,50,2026-09-30,Refrigerated (2-8°C)
2026-02-21,Germany,Berlin,Friedrichstraße 100,10117,DE-BER-002,COVID-19,Comirnaty,Pfizer/BioNTech,85,30,2026-06-30,Ultra-Low Temp
2026-02-21,Germany,Berlin,Schönhauser Allee 80 (Arcaden),10439,DE-BER-003,RSV,Abrysvo,Pfizer,22,10,2026-12-15,Refrigerated (2-8°C)
2026-02-21,Germany,Munich,Kaufingerstraße 15,80331,DE-MUC-004,Pneumonia,Prevnar 13,Pfizer,60,20,2027-02-28,Refrigerated (2-8°C)
2026-02-21,Germany,Munich,Leopoldstraße 25,80802,DE-MUC-005,Influenza,Fluarix Tetra,GSK,110,40,2026-08-15,Refrigerated (2-8°C)
2026-02-21,Germany,Hamburg,Mönckebergstraße 10,20095,DE-HAM-006,COVID-19,Spikevax,Moderna,45,25,2026-05-20,Frozen (-20°C)
2026-02-21,Germany,Hamburg,"Europa Passage, Ballindamm 40",20095,DE-HAM-007,RSV,Arexvy,GSK,15,5,2026-11-10,Refrigerated (2-8°C)
2026-02-21,Germany,Cologne,Hohe Str. 80,50667,DE-COL-008,Pneumonia,Pneumovax 23,MSD,30,15,2027-01-10,Refrigerated (2-8°C)
2026-02-21,Germany,Frankfurt,Zeil 106 (MyZeil),60313,DE-FRA-009,Influenza,Influvac,Viatris,95,35,2026-10-05,Refrigerated (2-8°C)
2026-02-21,Germany,Stuttgart,Königstraße 26,70173,DE-STU-010,COVID-19,Nuvaxovid,Novavax,50,20,2026-07-01,Refrigerated (2-8°C)
2026-02-21,Austria,Vienna,Mariahilfer Straße 89a,1060,AT-VIE-011,Influenza,Vaxigrip Tetra,Sanofi,120,40,2026-09-15,Refrigerated (2-8°C)
2026-02-21,Austria,Vienna,Kärntner Straße 11,1010,AT-VIE-012,RSV,Abrysvo,Pfizer,18,8,2026-12-05,Refrigerated (2-8°C)
2026-02-21,Austria,Vienna,Landstraßer Hauptstraße 1b,1030,AT-VIE-013,Pneumonia,Prevnar 13,Pfizer,40,15,2027-03-20,Refrigerated (2-8°C)
2026-02-21,Austria,Graz,Herrengasse 15,8010,AT-GRZ-014,COVID-19,Comirnaty,Pfizer/BioNTech,70,30,2026-06-15,Ultra-Low Temp
2026-02-21,Austria,Salzburg,Getreidegasse 33,5020,AT-SLZ-015,Influenza,Fluarix Tetra,GSK,55,25,2026-08-30,Refrigerated (2-8°C)
2026-02-21,Austria,Linz,Landstraße 35,4020,AT-LIN-016,RSV,Arexvy,GSK,12,5,2026-11-20,Refrigerated (2-8°C)
2026-02-21,Czech Republic,Prague,Václavské náměstí 832/19,11000,CZ-PRG-017,Influenza,Vaxigrip Tetra,Sanofi,200,60,2026-09-20,Refrigerated (2-8°C)
2026-02-21,Czech Republic,Prague,Jindřišská 16,11000,CZ-PRG-018,COVID-19,Spikevax,Moderna,65,30,2026-05-30,Frozen (-20°C)
2026-02-21,Czech Republic,Prague,"Palladium, Nám. Republiky 1",11000,CZ-PRG-019,Pneumonia,Pneumovax 23,MSD,45,20,2027-02-05,Refrigerated (2-8°C)
2026-02-21,Czech Republic,Brno,Česká 12,60200,CZ-BRN-020,Influenza,Influvac,Viatris,80,30,2026-10-15,Refrigerated (2-8°C)
2026-02-21,Czech Republic,Ostrava,"Forum Nová Karolina, Jantarová 4",70200,CZ-OST-021,RSV,Abrysvo,Pfizer,25,10,2026-12-10,Refrigerated (2-8°C)
