pathogen,country,trailing_weeks,trailing_values,forecast_hw_weeks,forecast_hw_values,forecast_hw_threshold_pct,forecast_hw_high_risk_weeks,tda_n_anomalies,tda_H0_z,tda_H1_z,tda_status,tda_trend,tda_lead_weeks,tda_past_rising,tda_past_falling,tda_seasonal_iso_weeks,hw_last_obs_week,hw_residual_z,hw_surprised,pca_dist_z,pca_position,convergence,target_weeks,target_values,cutoff_week
Influenza,Austria,2023-W48|2023-W49|2023-W50|2023-W51|2023-W52|2024-W01,2.7|8.6|7.3|9.3|25.4|17.3,2024-W02|2024-W03|2024-W04|2024-W05|2024-W06|2024-W07|2024-W08|2024-W09|2024-W10|2024-W11|2024-W12|2024-W13,4.75|-3.75|2.7|1.65|0.8|4.35|4.6|5.55|6.85|8.9|12.3|13.05,20.4,,7,0.04,-0.36,normal,"H0_rising,H1_rising",7,3,4,1|46|47|49|50|51|52,2024-W01,-0.08,False,-0.16,normal,0,2024-W02|2024-W03|2024-W04|2024-W05|2024-W06|2024-W07|2024-W08|2024-W09|2024-W10|2024-W11|2024-W12|2024-W13,18.8|25.6|30.8|33.9|34.0|24.1|26.2|13.5|13.3|17.4|3.9|6.5,2024-W01
Influenza,Austria,2023-W50|2023-W51|2023-W52|2024-W01|2024-W02|2024-W03,7.3|9.3|25.4|17.3|18.8|25.6,2024-W04|2024-W05|2024-W06|2024-W07|2024-W08|2024-W09|2024-W10|2024-W11|2024-W12|2024-W13|2024-W14|2024-W15,43.63|54.0|64.44|79.15|90.44|102.33|114.47|127.28|141.39|152.79|162.03|174.97,20.5,2024-W04|2024-W05|2024-W06|2024-W07|2024-W08|2024-W09|2024-W10|2024-W11|2024-W12|2024-W13|2024-W14|2024-W15,7,0.17,-0.36,normal,"H0_falling,H1_rising",7,3,4,1|46|47|49|50|51|52,2024-W03,1.46,False,1.03,elevated,2,2024-W04|2024-W05|2024-W06|2024-W07|2024-W08|2024-W09|2024-W10|2024-W11|2024-W12|2024-W13|2024-W14|2024-W15,30.8|33.9|34.0|24.1|26.2|13.5|13.3|17.4|3.9|6.5|8.0|2.4,2024-W03
Influenza,Austria,2023-W52|2024-W01|2024-W02|2024-W03|2024-W04|2024-W05,25.4|17.3|18.8|25.6|30.8|33.9,2024-W06|2024-W07|2024-W08|2024-W09|2024-W10|2024-W11|2024-W12|2024-W13|2024-W14|2024-W15|2024-W16|2024-W17,33.3|37.17|37.47|38.74|40.67|43.52|47.44|48.31|47.11|50.0|50.46|50.48,20.7,2024-W06|2024-W07|2024-W08|2024-W09|2024-W10|2024-W11|2024-W12|2024-W13|2024-W14|2024-W15|2024-W16|2024-W17,7,1.03,-0.36,normal,"H0_rising,H1_rising",7,3,4,1|46|47|49|50|51|52,2024-W05,0.78,False,0.79,normal,2,2024-W06|2024-W07|2024-W08|2024-W09|2024-W10|2024-W11|2024-W12|2024-W13|2024-W14|2024-W15|2024-W16|2024-W17,34.0|24.1|26.2|13.5|13.3|17.4|3.9|6.5|8.0|2.4|3.6|3.1,2024-W05
Influenza,Austria,2024-W02|2024-W03|2024-W04|2024-W05|2024-W06|2024-W07,18.8|25.6|30.8|33.9|34.0|24.1,2024-W08|2024-W09|2024-W10|2024-W11|2024-W12|2024-W13|2024-W14|2024-W15|2024-W16|2024-W17|2024-W18|2024-W19,24.35|25.3|26.6|28.65|32.05|32.8|31.4|33.73|33.16|32.59|32.02|31.45,21.04,2024-W08|2024-W09|2024-W10|2024-W11|2024-W12|2024-W13|2024-W14|2024-W15|2024-W16|2024-W17|2024-W18|2024-W19,7,0.84,-0.36,normal,"H0_rising,H1_falling",7,3,4,1|46|47|49|50|51|52,2024-W07,-2.44,True,0.15,normal,2,2024-W08|2024-W09|2024-W10|2024-W11|2024-W12|2024-W13|2024-W14|2024-W15|2024-W16|2024-W17|2024-W18|2024-W19,26.2|13.5|13.3|17.4|3.9|6.5|8.0|2.4|3.6|3.1|2.3|4.9,2024-W07
Influenza,Austria,2024-W04|2024-W05|2024-W06|2024-W07|2024-W08|2024-W09,30.8|33.9|34.0|24.1|26.2|13.5,2024-W10|2024-W11|2024-W12|2024-W13|2024-W14|2024-W15|2024-W16|2024-W17|2024-W18|2024-W19|2024-W20|2024-W21,8.77|4.92|2.56|-2.35|-9.25|-12.27|-17.99|-23.52|-28.91|-34.17|-39.28|-44.21,21.33,,7,0.45,-0.36,normal,"H0_rising,H1_falling",7,3,4,1|46|47|49|50|51|52,2024-W09,-2.14,True,0.07,normal,0,2024-W10|2024-W11|2024-W12|2024-W13|2024-W14|2024-W15|2024-W16|2024-W17|2024-W18|2024-W19|2024-W20|2024-W21,13.3|17.4|3.9|6.5|8.0|2.4|3.6|3.1|2.3|4.9|1.3|0.0,2024-W09
Influenza,Austria,2024-W06|2024-W07|2024-W08|2024-W09|2024-W10|2024-W11,34.0|24.1|26.2|13.5|13.3|17.4,2024-W12|2024-W13|2024-W14|2024-W15|2024-W16|2024-W17|2024-W18|2024-W19|2024-W20|2024-W21|2024-W22|2024-W23,20.8|21.55|20.14|22.47|21.9|21.33|20.76|20.19|19.62|19.05|18.48|17.91,21.04,2024-W13|2024-W15|2024-W16|2024-W17,7,1.35,-0.36,normal,"H0_rising,H1_falling",7,3,4,1|46|47|49|50|51|52,2024-W11,0.36,False,-0.28,normal,2,2024-W12|2024-W13|2024-W14|2024-W15|2024-W16|2024-W17|2024-W18|2024-W19|2024-W20|2024-W21|2024-W22|2024-W23,3.9|6.5|8.0|2.4|3.6|3.1|2.3|4.9|1.3|0.0|0.0|2.5,2024-W11
Influenza,Austria,2024-W08|2024-W09|2024-W10|2024-W11|2024-W12|2024-W13,26.2|13.5|13.3|17.4|3.9|6.5,2024-W14|2024-W15|2024-W16|2024-W17|2024-W18|2024-W19|2024-W20|2024-W21|2024-W22|2024-W23|2024-W24|2024-W25,5.1|7.42|6.86|6.29|5.72|5.15|4.58|4.01|3.44|2.88|2.31|1.74,20.74,,7,1.31,-0.36,normal,"H0_rising,H1_falling",7,3,4,1|46|47|49|50|51|52,2024-W13,0.31,False,-0.39,normal,0,2024-W14|2024-W15|2024-W16|2024-W17|2024-W18|2024-W19|2024-W20|2024-W21|2024-W22|2024-W23|2024-W24|2024-W25,8.0|2.4|3.6|3.1|2.3|4.9|1.3|0.0|0.0|2.5|0.0|1.1,2024-W13
Influenza,Austria,2024-W10|2024-W11|2024-W12|2024-W13|2024-W14|2024-W15,13.3|17.4|3.9|6.5|8.0|2.4,2024-W16|2024-W17|2024-W18|2024-W19|2024-W20|2024-W21|2024-W22|2024-W23|2024-W24|2024-W25|2024-W26|2024-W27,1.83|1.26|0.69|0.13|-0.44|-1.01|-1.58|-2.15|-2.72|-3.28|-3.85|-4.42,20.72,,7,1.08,-0.36,normal,"H0_rising,H1_falling",7,3,4,1|46|47|49|50|51|52,2024-W15,-1.33,False,-0.19,normal,0,2024-W16|2024-W17|2024-W18|2024-W19|2024-W20|2024-W21|2024-W22|2024-W23|2024-W24|2024-W25|2024-W26|2024-W27,3.6|3.1|2.3|4.9|1.3|0.0|0.0|2.5|0.0|1.1|0.0|0.0,2024-W15
Influenza,Austria,2024-W12|2024-W13|2024-W14|2024-W15|2024-W16|2024-W17,3.9|6.5|8.0|2.4|3.6|3.1,2024-W18|2024-W19|2024-W20|2024-W21|2024-W22|2024-W23|2024-W24|2024-W25|2024-W26|2024-W27|2024-W28|2024-W29,2.53|1.97|1.4|0.83|0.26|-0.31|-0.87|-1.44|-2.01|-2.58|-3.15|-3.72,20.7,,7,-0.26,-0.36,normal,"H0_falling,H1_falling",7,3,4,1|46|47|49|50|51|52,2024-W17,0.01,False,-0.13,normal,0,2024-W18|2024-W19|2024-W20|2024-W21|2024-W22|2024-W23|2024-W24|2024-W25|2024-W26|2024-W27|2024-W28|2024-W29,2.3|4.9|1.3|0.0|0.0|2.5|0.0|1.1|0.0|0.0|0.0|0.0,2024-W17
Influenza,Austria,2024-W14|2024-W15|2024-W16|2024-W17|2024-W18|2024-W19,8.0|2.4|3.6|3.1|2.3|4.9,2024-W20|2024-W21|2024-W22|2024-W23|2024-W24|2024-W25|2024-W26|2024-W27|2024-W28|2024-W29|2024-W30|2024-W31,4.33|3.76|3.19|2.62|2.06|1.49|0.92|0.35|-0.22|-0.79|-1.36|-1.92,20.65,,7,-0.81,-0.36,normal,"H0_falling,H1_falling",7,3,4,1|46|47|49|50|51|52,2024-W19,0.54,False,-0.48,normal,0,2024-W20|2024-W21|2024-W22|2024-W23|2024-W24|2024-W25|2024-W26|2024-W27|2024-W28|2024-W29|2024-W30|2024-W31,1.3|0.0|0.0|2.5|0.0|1.1|0.0|0.0|0.0|0.0|1.0|1.1,2024-W19
